Date,Airport,Departure Punctuality %,Arrival Punctuality %,Avg Departure Schedule Delay,Avg Arrival Schedule Delay,Avg Departure - Arrival Schedule Delay,Operated Schedules %,Country,Month,Weekday,Weekday_Name,Is_Weekend,Season,Airport_Size,Delayed
2022-01-06,Paris Orly,79.5,88.72,9.83,5.056752137,4.773247863,90.54,France,1,3,Thursday,0,Winter,Medium,0
2025-01-22,Nice,82.11,85.83,8.415176152,7.734861111,0.680315041,84.67,France,1,2,Wednesday,0,Winter,Medium,0
2023-04-14,Nice,40.93,56.81,31.68713178,22.15438185,9.532749936,91.24,France,4,4,Friday,0,Spring,Medium,1
2025-02-03,Nice,90.97,88.36,6.048611111,5.28630137,0.762309741,89.57,France,2,0,Monday,0,Winter,Medium,0
2025-02-20,Paris Charles de Gaulle,69.83,80.32,17.01579779,13.35238095,3.663416836,93.7,France,2,3,Thursday,0,Winter,Large,1
2024-06-30,Nice,32.49,44.4,48.19133574,35.51125622,12.68007952,85.67,France,6,6,Sunday,1,Summer,Medium,1
2025-04-24,Nice,66.04,80.66,13.56132075,8.289386792,5.271933962,91.91,France,4,3,Thursday,0,Spring,Medium,0
2024-10-18,Paris Charles de Gaulle,55.72,75.46,23.01129272,14.08811222,8.923180499,96.72,France,10,4,Friday,0,Autumn,Large,1
2022-01-09,Nice,73.48,81.6,11.83169192,8.9616,2.870091919,89.47,France,1,6,Sunday,1,Winter,Medium,0
2025-04-06,Paris Orly,75.48,82.22,15.81847134,11.54359788,4.274873454,97.0,France,4,6,Sunday,1,Spring,Medium,1
2025-11-10,Paris Charles de Gaulle,73.64,84.1,14.29392971,11.38117284,2.912756873,97.52,France,11,0,Monday,0,Autumn,Large,0
2022-10-22,Paris Charles de Gaulle,55.17,74.46,18.5862069,12.93785714,5.648349754,98.01,France,10,5,Saturday,1,Autumn,Large,1
2023-09-29,Paris Orly,73.27,84.27,13.65165165,8.263353116,5.388298536,94.63,France,9,4,Friday,0,Autumn,Medium,0
2022-07-22,Paris Orly,36.39,58.33,31.9204893,21.4399177,10.4805716,97.08,France,7,4,Friday,0,Summer,Medium,1
2025-04-15,Paris Orly,72.29,85.93,12.09779116,7.498552894,4.59923827,97.08,France,4,1,Tuesday,0,Spring,Medium,0
2024-03-16,Nice,92.5,91.27,4.816666667,4.748809524,0.067857143,98.39,France,3,5,Saturday,1,Spring,Medium,0
2023-06-21,Paris Charles de Gaulle,40.65,65.78,29.77056946,18.61012346,11.16044601,95.07,France,6,2,Wednesday,0,Summer,Large,1
2025-04-02,Nice,76.5,84.24,10.55737705,8.496648551,2.060728498,93.03,France,4,2,Wednesday,0,Spring,Medium,0
2022-04-21,Paris Charles de Gaulle,56.15,77.93,19.87978047,9.297810858,10.58196962,97.82,France,4,3,Thursday,0,Spring,Large,1
2025-03-04,Nice,88.19,87.3,6.818897638,5.981349206,0.837548431,92.25,France,3,1,Tuesday,0,Spring,Medium,0
2024-04-08,Nice,69.27,72.02,17.00552846,14.45328152,2.552246935,89.36,France,4,0,Monday,0,Spring,Medium,1
2025-04-01,Paris Orly,75.63,84.51,13.58422939,8.063849765,5.520379625,90.65,France,4,1,Tuesday,0,Spring,Medium,0
2022-01-08,Paris Charles de Gaulle,56.58,78.54,20.23647643,12.51939024,7.717086183,95.12,France,1,5,Saturday,1,Winter,Large,1
2025-02-17,Paris Charles de Gaulle,68.55,78.83,15.59193548,14.02472354,1.567211945,96.46,France,2,0,Monday,0,Winter,Large,1
2024-08-02,Paris Charles de Gaulle,42.05,66.57,32.31598687,20.29334258,12.02264429,97.83,France,8,4,Friday,0,Summer,Large,1
2025-03-13,Paris Orly,80.58,89.22,9.935606061,6.372413793,3.563192268,94.55,France,3,3,Thursday,0,Spring,Medium,0
2023-07-25,Paris Orly,47.73,63.38,27.83766234,20.38322718,7.454435161,93.66,France,7,1,Tuesday,0,Summer,Medium,1
2023-09-16,Paris Orly,66.32,77.78,17.09375,13.07732884,4.016421156,94.17,France,9,5,Saturday,1,Autumn,Medium,1
2025-04-23,Paris Orly,62.77,77.98,17.13358974,12.58139653,4.552193209,95.87,France,4,2,Wednesday,0,Spring,Medium,1
2022-01-24,Nice,84.54,90.59,6.257731959,7.092941176,-0.835209218,88.98,France,1,0,Monday,0,Winter,Medium,0
2022-07-09,Paris Orly,41.75,62.68,31.08684211,21.30786385,9.778978255,97.6,France,7,5,Saturday,1,Summer,Medium,1
2024-10-31,Nice,71.71,77.99,15.52631579,14.15377358,1.372542205,93.41,France,10,3,Thursday,0,Autumn,Medium,1
2026-04-24,Paris Orly,77.43,88.48,9.822857143,5.044803371,4.778053772,97.5,France,4,4,Friday,0,Spring,Medium,0
2024-08-22,Nice,59.92,76.69,18.6770428,12.31785714,6.359185659,91.61,France,8,3,Thursday,0,Summer,Medium,1
2026-05-11,Paris Orly,77.09,83.96,11.17337461,8.381132075,2.792242538,96.44,France,5,0,Monday,0,Spring,Medium,0
2026-03-14,Nice,59.5,62.5,27.37190083,19.24947917,8.12242166,80.92,France,3,5,Saturday,1,Spring,Medium,1
2024-04-19,Paris Charles de Gaulle,56.34,69.94,22.75371501,16.99354839,5.760166626,98.21,France,4,4,Friday,0,Spring,Large,1
2024-06-23,Paris Charles de Gaulle,53.54,75.41,22.64490139,11.81566717,10.82923423,96.39,France,6,6,Sunday,1,Summer,Large,1
2022-05-31,Paris Orly,77.58,84.04,9.259786477,8.186229314,1.073557162,97.94,France,5,1,Tuesday,0,Spring,Medium,0
2024-09-21,Paris Orly,70.82,83.15,16.61209964,9.942114695,6.669984949,95.59,France,9,5,Saturday,1,Autumn,Medium,1
2023-07-11,Paris Charles de Gaulle,40.77,61.4,31.6235119,21.09215102,10.53136089,94.92,France,7,1,Tuesday,0,Summer,Large,1
2025-10-21,Paris Charles de Gaulle,66.91,79.67,15.54948301,10.0444362,5.505046812,95.12,France,10,1,Tuesday,0,Autumn,Large,1
2022-12-02,Paris Orly,76.6,80.28,12.39007092,10.394777,1.995293927,96.61,France,12,4,Friday,0,Winter,Medium,0
2025-09-06,Paris Orly,71.25,82.17,14.20766773,9.640233546,4.567434186,93.18,France,9,5,Saturday,1,Autumn,Medium,0
2026-05-06,Paris Orly,79.61,85.95,10.81553398,9.333986928,1.481547052,97.2,France,5,2,Wednesday,0,Spring,Medium,0
2025-01-19,Paris Charles de Gaulle,67.09,80.8,17.13595539,12.66687995,4.469075444,95.86,France,1,6,Sunday,1,Winter,Large,1
2022-05-25,Nice,37.04,55.6,30.86831276,22.65126354,8.217049219,80.76,France,5,2,Wednesday,0,Spring,Medium,1
2022-04-17,Paris Orly,71.53,86.36,12.96271186,8.137470862,4.825241002,98.67,France,4,6,Sunday,1,Spring,Medium,0
2022-04-11,Nice,61.29,76.1,18.5588172,11.11142558,7.447391628,90.45,France,4,0,Monday,0,Spring,Medium,1
2022-06-19,Paris Charles de Gaulle,28.74,51.48,41.00864512,25.69863768,15.31000744,96.76,France,6,6,Sunday,1,Summer,Large,1
2024-06-26,Nice,41.87,66.28,29.75609756,17.25127714,12.50482042,88.58,France,6,2,Wednesday,0,Summer,Medium,1
2026-05-09,Nice,59.62,70.81,15.56730769,12.28644338,3.280864311,88.61,France,5,5,Saturday,1,Spring,Medium,1
2025-06-05,Paris Orly,63.91,75.38,17.29881657,12.47987988,4.818936688,95.24,France,6,3,Thursday,0,Summer,Medium,1
2023-11-05,Paris Charles de Gaulle,58.55,68.9,20.42105263,17.38938127,3.031671361,94.22,France,11,6,Sunday,1,Autumn,Large,1
2025-04-30,Paris Orly,58.57,76.64,18.64485981,11.32642783,7.318431983,95.85,France,4,2,Wednesday,0,Spring,Medium,1
2025-06-11,Paris Orly,71.12,85.2,12.74468085,7.638418933,5.106261919,97.1,France,6,2,Wednesday,0,Summer,Medium,0
2024-02-05,Nice,87.05,90.07,9.519664269,6.380732861,3.138931408,94.08,France,2,0,Monday,0,Winter,Medium,0
2023-04-06,Paris Orly,32.54,42.11,38.07539683,31.60728745,6.468109376,91.37,France,4,3,Thursday,0,Spring,Medium,1
2023-12-26,Paris Orly,71.68,84.27,13.36713287,9.264801865,4.102331002,95.39,France,12,1,Tuesday,0,Winter,Medium,0
2024-10-08,Paris Charles de Gaulle,47.08,65.77,24.15672164,14.97954659,9.177175052,95.38,France,10,1,Tuesday,0,Autumn,Large,1
2026-05-11,Paris Charles de Gaulle,71.01,78.37,15.37869822,11.091582,4.287116222,93.66,France,5,0,Monday,0,Spring,Large,1
2023-03-31,Paris Orly,41.15,53.68,35.01769912,28.04646465,6.971234469,80.84,France,3,4,Friday,0,Spring,Medium,1
2024-12-18,Paris Orly,70.73,84.3,13.78455285,7.035055096,6.749497749,94.05,France,12,2,Wednesday,0,Winter,Medium,0
2025-08-07,Paris Orly,68.79,82.93,15.21212121,9.814278455,5.397842757,96.79,France,8,3,Thursday,0,Summer,Medium,1
2024-08-20,Paris Charles de Gaulle,59.72,75.21,22.397277,13.67479452,8.722482475,96.25,France,8,1,Tuesday,0,Summer,Large,1
2023-11-13,Paris Orly,82.69,87.32,8.964664311,6.699061033,2.265603278,95.61,France,11,0,Monday,0,Autumn,Medium,0
2023-03-21,Paris Orly,52.26,70.53,21.74874372,14.96964573,6.779097986,78.74,France,3,1,Tuesday,0,Spring,Medium,1
2022-02-03,Nice,83.67,85.05,6.918367347,7.109501558,-0.191134211,86.18,France,2,3,Thursday,0,Winter,Medium,0
2024-10-06,Paris Charles de Gaulle,64.35,80.76,17.42672584,9.783358779,7.64336706,96.87,France,10,6,Sunday,1,Autumn,Large,1
2024-10-29,Paris Charles de Gaulle,66.19,78.28,18.21955128,11.96920583,6.250345447,79.9,France,10,1,Tuesday,0,Autumn,Large,1
2025-12-28,Paris Charles de Gaulle,54.86,63.8,23.2460815,21.28920455,1.956876959,97.72,France,12,6,Sunday,1,Winter,Large,1
2025-11-29,Paris Orly,81.57,84.36,13.52534562,10.43017378,3.095171846,96.02,France,11,5,Saturday,1,Autumn,Medium,0
2024-03-01,Paris Orly,68.14,77.85,15.89152542,13.0163311,2.875194328,94.59,France,3,4,Friday,0,Spring,Medium,1
2026-04-26,Paris Charles de Gaulle,76.89,84.6,12.01729607,8.976671851,3.040624222,97.65,France,4,6,Sunday,1,Spring,Large,0
2024-08-11,Paris Charles de Gaulle,54.55,77.79,23.87157287,13.58529412,10.28627875,97.22,France,8,6,Sunday,1,Summer,Large,1
2024-04-11,Paris Charles de Gaulle,65.04,84.39,15.52977099,9.887222222,5.64254877,95.24,France,4,3,Thursday,0,Spring,Large,1
2023-02-01,Paris Orly,77.23,80.73,10.47767857,9.263761468,1.213917104,94.98,France,2,2,Wednesday,0,Winter,Medium,0
2022-11-13,Paris Orly,56.49,69.68,17.86076023,15.21817088,2.642589355,96.64,France,11,6,Sunday,1,Autumn,Medium,1
2025-03-10,Nice,77.27,80.47,11.81818182,10.83076923,0.987412587,83.48,France,3,0,Monday,0,Spring,Medium,0
2025-12-03,Nice,87.39,86.99,7.050420168,6.965718157,0.084702011,85.0,France,12,2,Wednesday,0,Winter,Medium,0
2026-04-01,Nice,73.48,70.74,12.65745856,13.49024823,-0.832789663,86.38,France,4,2,Wednesday,0,Spring,Medium,0
2024-02-14,Paris Orly,84.49,90.71,9.187165775,4.825045537,4.362120238,93.97,France,2,2,Wednesday,0,Winter,Medium,0
2023-01-09,Nice,75.0,87.29,12.375,7.081779661,5.293220339,89.93,France,1,0,Monday,0,Winter,Medium,0
2024-11-09,Paris Orly,60.45,77.42,20.27272727,11.86029186,8.412435414,94.83,France,11,5,Saturday,1,Autumn,Medium,1
2024-10-24,Nice,65.1,76.32,17.48958333,11.52482456,5.964758772,93.75,France,10,3,Thursday,0,Autumn,Medium,1
2025-11-18,Paris Orly,87.73,92.38,8.518181818,6.154110613,2.364071205,96.51,France,11,1,Tuesday,0,Autumn,Medium,0
2024-10-21,Paris Orly,70.0,82.42,18.96666667,10.1390404,8.827626263,95.4,France,10,0,Monday,0,Autumn,Medium,1
2022-07-19,Nice,38.36,58.3,33.45553161,23.23659574,10.21893586,85.42,France,7,1,Tuesday,0,Summer,Medium,1
2023-12-20,Nice,75.97,84.08,15.78571429,14.06464968,1.721064604,90.71,France,12,2,Wednesday,0,Winter,Medium,1
2025-04-15,Nice,73.62,76.22,12.49079755,11.34065041,1.15014714,92.18,France,4,1,Tuesday,0,Spring,Medium,0
2023-09-14,Nice,66.53,72.44,16.6322314,14.1816273,2.450604108,86.15,France,9,3,Thursday,0,Autumn,Medium,1
2024-09-13,Paris Charles de Gaulle,54.7,70.46,22.15484805,15.48731833,6.667529715,98.32,France,9,4,Friday,0,Autumn,Large,1
2023-05-10,Paris Orly,50.66,59.0,24.06953642,21.93505556,2.134480868,97.77,France,5,2,Wednesday,0,Spring,Medium,1
2026-01-01,Paris Orly,65.02,78.87,17.32862191,12.03591549,5.292706415,94.33,France,1,3,Thursday,0,Winter,Medium,1
2024-06-12,Paris Orly,61.73,77.26,18.94135802,12.07159917,6.869758855,96.44,France,6,2,Wednesday,0,Summer,Medium,1
2023-07-10,Nice,46.04,66.15,29.63573141,19.2498703,10.38586112,89.23,France,7,0,Monday,0,Summer,Medium,1
2022-12-17,Nice,56.3,59.5,25.48148148,25.16900826,0.312473217,91.61,France,12,5,Saturday,1,Winter,Medium,1
2022-03-21,Nice,76.52,85.71,10.81060606,6.94887218,3.86173388,86.59,France,3,0,Monday,0,Spring,Medium,0
2023-02-19,Nice,66.22,73.83,15.32432432,12.97729306,2.347031259,89.6,France,2,6,Sunday,1,Winter,Medium,1
2025-06-05,Paris Charles de Gaulle,56.16,75.68,20.5530086,13.25018966,7.302818933,94.41,France,6,3,Thursday,0,Summer,Large,1
2024-03-09,Paris Charles de Gaulle,64.66,78.72,19.35154827,11.36450094,7.987047328,96.7,France,3,5,Saturday,1,Spring,Large,1
2024-09-12,Paris Orly,63.33,70.53,17.11818182,12.93427377,4.183908046,94.32,France,9,3,Thursday,0,Autumn,Medium,1
2024-12-22,Paris Orly,44.21,53.15,26.31578947,21.60961538,4.706174089,93.85,France,12,6,Sunday,1,Winter,Medium,1
2024-01-05,Nice,67.28,79.88,14.22222222,8.829065041,5.393157182,94.77,France,1,4,Friday,0,Winter,Medium,0
2025-07-30,Paris Orly,57.73,77.42,19.59475219,12.80855327,6.786198912,95.81,France,7,2,Wednesday,0,Summer,Medium,1
2022-10-12,Paris Charles de Gaulle,73.99,83.9,12.39555369,7.102853881,5.29269981,97.56,France,10,2,Wednesday,0,Autumn,Large,0
2024-10-17,Nice,52.79,53.96,25.64974619,20.44942244,5.200323751,94.81,France,10,3,Thursday,0,Autumn,Medium,1
2022-09-01,Paris Orly,67.41,76.58,16.14057508,13.64810127,2.492473814,96.64,France,9,3,Thursday,0,Autumn,Medium,1
2022-06-29,Nice,46.02,60.34,29.87610619,22.66278736,7.213318838,85.21,France,6,2,Wednesday,0,Summer,Medium,1
2026-01-31,Nice,86.24,89.0,5.743119266,6.932,-1.188880734,81.88,France,1,5,Saturday,1,Winter,Medium,0
2023-04-30,Paris Orly,65.57,78.03,16.07868852,11.73630573,4.342382792,90.8,France,4,6,Sunday,1,Spring,Medium,1
2023-08-13,Paris Orly,63.16,76.99,16.53560372,11.4309816,5.10462212,96.44,France,8,6,Sunday,1,Summer,Medium,1
2026-01-25,Nice,71.7,76.16,16.8336478,15.03476821,1.798879587,83.59,France,1,6,Sunday,1,Winter,Medium,1
