Date,Airport,Departure Punctuality %,Arrival Punctuality %,Avg Departure Schedule Delay,Avg Arrival Schedule Delay,Avg Departure - Arrival Schedule Delay,Operated Schedules %,Country,Month,Weekday,Is_Weekend,Season,Airport_Size,Temperature,Precipitation,WindSpeed,Delayed
2022-01-06,Paris Orly,79.5,88.72,9.83,5.056752137,4.773247863,90.54,France,1,3,0,Winter,Medium,1.8,0.0,16.8,0
2025-01-22,Nice,82.11,85.83,8.415176152,7.734861111,0.680315041,84.67,France,1,2,0,Winter,Medium,10.3,14.8,13.1,0
2023-04-14,Nice,40.93,56.81,31.68713178,22.15438185,9.532749936,91.24,France,4,4,0,Spring,Medium,14.2,0.0,24.5,1
2025-02-03,Nice,90.97,88.36,6.048611111,5.28630137,0.762309741,89.57,France,2,0,0,Winter,Medium,9.6,0.0,16.8,0
2025-02-20,Paris Charles de Gaulle,69.83,80.32,17.01579779,13.35238095,3.663416836,93.7,France,2,3,0,Winter,Large,8.8,2.9,16.2,1
2024-06-30,Nice,32.49,44.4,48.19133574,35.51125622,12.68007952,85.67,France,6,6,1,Summer,Medium,23.4,0.2,28.2,1
2025-04-24,Nice,66.04,80.66,13.56132075,8.289386792,5.271933962,91.91,France,4,3,0,Spring,Medium,15.7,0.0,17.2,0
2024-10-18,Paris Charles de Gaulle,55.72,75.46,23.01129272,14.08811222,8.923180499,96.72,France,10,4,0,Autumn,Large,14.2,3.8,20.7,1
2022-01-09,Nice,73.48,81.6,11.83169192,8.9616,2.870091919,89.47,France,1,6,1,Winter,Medium,8.8,0.3,29.3,0
2025-04-06,Paris Orly,75.48,82.22,15.81847134,11.54359788,4.274873454,97.0,France,4,6,1,Spring,Medium,12.4,0.0,14.2,1
2025-11-10,Paris Charles de Gaulle,73.64,84.1,14.29392971,11.38117284,2.912756873,97.52,France,11,0,0,Autumn,Large,9.1,8.6,18.4,0
2022-10-22,Paris Charles de Gaulle,55.17,74.46,18.5862069,12.93785714,5.648349754,98.01,France,10,5,1,Autumn,Large,15.6,0.0,17.1,1
2023-09-29,Paris Orly,73.27,84.27,13.65165165,8.263353116,5.388298536,94.63,France,9,4,0,Autumn,Medium,18.8,0.0,23.9,0
2022-07-22,Paris Orly,36.39,58.33,31.9204893,21.4399177,10.4805716,97.08,France,7,4,0,Summer,Medium,20.7,8.1,15.3,1
2025-04-15,Paris Orly,72.29,85.93,12.09779116,7.498552894,4.59923827,97.08,France,4,1,0,Spring,Medium,13.9,5.2,20.1,0
2024-03-16,Nice,92.5,91.27,4.816666667,4.748809524,0.067857143,98.39,France,3,5,1,Spring,Medium,11.8,0.0,9.1,0
2023-06-21,Paris Charles de Gaulle,40.65,65.78,29.77056946,18.61012346,11.16044601,95.07,France,6,2,0,Summer,Large,21.0,1.1,13.0,1
2025-04-02,Nice,76.5,84.24,10.55737705,8.496648551,2.060728498,93.03,France,4,2,0,Spring,Medium,13.1,0.2,20.1,0
2022-04-21,Paris Charles de Gaulle,56.15,77.93,19.87978047,9.297810858,10.58196962,97.82,France,4,3,0,Spring,Large,12.4,0.0,19.5,1
2025-03-04,Nice,88.19,87.3,6.818897638,5.981349206,0.837548431,92.25,France,3,1,0,Spring,Medium,10.4,0.0,16.4,0
2024-04-08,Nice,69.27,72.02,17.00552846,14.45328152,2.552246935,89.36,France,4,0,0,Spring,Medium,16.8,0.0,8.3,1
2025-04-01,Paris Orly,75.63,84.51,13.58422939,8.063849765,5.520379625,90.65,France,4,1,0,Spring,Medium,9.1,0.0,25.1,0
2022-01-08,Paris Charles de Gaulle,56.58,78.54,20.23647643,12.51939024,7.717086183,95.12,France,1,5,1,Winter,Large,5.1,11.7,30.3,1
2025-02-17,Paris Charles de Gaulle,68.55,78.83,15.59193548,14.02472354,1.567211945,96.46,France,2,0,0,Winter,Large,1.3,0.0,10.8,1
2024-08-02,Paris Charles de Gaulle,42.05,66.57,32.31598687,20.29334258,12.02264429,97.83,France,8,4,0,Summer,Large,21.7,0.3,18.3,1
2025-03-13,Paris Orly,80.58,89.22,9.935606061,6.372413793,3.563192268,94.55,France,3,3,0,Spring,Medium,4.7,1.2,10.1,0
2023-07-25,Paris Orly,47.73,63.38,27.83766234,20.38322718,7.454435161,93.66,France,7,1,0,Summer,Medium,16.8,9.7,19.2,1
2023-09-16,Paris Orly,66.32,77.78,17.09375,13.07732884,4.016421156,94.17,France,9,5,1,Autumn,Medium,19.2,0.2,9.7,1
2025-04-23,Paris Orly,62.77,77.98,17.13358974,12.58139653,4.552193209,95.87,France,4,2,0,Spring,Medium,10.8,11.8,20.5,1
2022-01-24,Nice,84.54,90.59,6.257731959,7.092941176,-0.835209218,88.98,France,1,0,0,Winter,Medium,7.7,0.0,7.5,0
2022-07-09,Paris Orly,41.75,62.68,31.08684211,21.30786385,9.778978255,97.6,France,7,5,1,Summer,Medium,21.5,0.0,22.1,1
2024-10-31,Nice,71.71,77.99,15.52631579,14.15377358,1.372542205,93.41,France,10,3,0,Autumn,Medium,17.1,0.0,16.3,1
2026-04-24,Paris Orly,77.43,88.48,9.822857143,5.044803371,4.778053772,97.5,France,4,4,0,Spring,Medium,16.0,0.0,15.1,0
2024-08-22,Nice,59.92,76.69,18.6770428,12.31785714,6.359185659,91.61,France,8,3,0,Summer,Medium,25.4,0.0,8.2,1
2026-05-11,Paris Orly,77.09,83.96,11.17337461,8.381132075,2.792242538,96.44,France,5,0,0,Spring,Medium,11.3,4.7,17.6,0
2026-03-14,Nice,59.5,62.5,27.37190083,19.24947917,8.12242166,80.92,France,3,5,1,Spring,Medium,10.3,50.4,18.1,1
2024-04-19,Paris Charles de Gaulle,56.34,69.94,22.75371501,16.99354839,5.760166626,98.21,France,4,4,0,Spring,Large,8.7,2.2,30.1,1
2024-06-23,Paris Charles de Gaulle,53.54,75.41,22.64490139,11.81566717,10.82923423,96.39,France,6,6,1,Summer,Large,16.4,0.0,9.4,1
2022-05-31,Paris Orly,77.58,84.04,9.259786477,8.186229314,1.073557162,97.94,France,5,1,0,Spring,Medium,15.5,0.0,19.2,0
2024-09-21,Paris Orly,70.82,83.15,16.61209964,9.942114695,6.669984949,95.59,France,9,5,1,Autumn,Medium,17.5,0.7,17.1,1
2023-07-11,Paris Charles de Gaulle,40.77,61.4,31.6235119,21.09215102,10.53136089,94.92,France,7,1,0,Summer,Large,23.8,0.0,20.6,1
2025-10-21,Paris Charles de Gaulle,66.91,79.67,15.54948301,10.0444362,5.505046812,95.12,France,10,1,0,Autumn,Large,13.6,1.3,23.7,1
2022-12-02,Paris Orly,76.6,80.28,12.39007092,10.394777,1.995293927,96.61,France,12,4,0,Winter,Medium,4.6,1.8,19.5,0
2025-09-06,Paris Orly,71.25,82.17,14.20766773,9.640233546,4.567434186,93.18,France,9,5,1,Autumn,Medium,17.4,0.0,16.0,0
2026-05-06,Paris Orly,79.61,85.95,10.81553398,9.333986928,1.481547052,97.2,France,5,2,0,Spring,Medium,11.5,7.3,16.2,0
2025-01-19,Paris Charles de Gaulle,67.09,80.8,17.13595539,12.66687995,4.469075444,95.86,France,1,6,1,Winter,Large,-1.3,0.0,6.7,1
2022-05-25,Nice,37.04,55.6,30.86831276,22.65126354,8.217049219,80.76,France,5,2,0,Spring,Medium,21.6,0.1,13.3,1
2022-04-17,Paris Orly,71.53,86.36,12.96271186,8.137470862,4.825241002,98.67,France,4,6,1,Spring,Medium,12.0,0.0,12.5,0
2022-04-11,Nice,61.29,76.1,18.5588172,11.11142558,7.447391628,90.45,France,4,0,0,Spring,Medium,11.9,0.0,15.3,1
2022-06-19,Paris Charles de Gaulle,28.74,51.48,41.00864512,25.69863768,15.31000744,96.76,France,6,6,1,Summer,Large,20.4,2.1,28.1,1
2024-06-26,Nice,41.87,66.28,29.75609756,17.25127714,12.50482042,88.58,France,6,2,0,Summer,Medium,20.8,0.0,9.2,1
2026-05-09,Nice,59.62,70.81,15.56730769,12.28644338,3.280864311,88.61,France,5,5,1,Spring,Medium,17.6,0.0,14.0,1
2025-06-05,Paris Orly,63.91,75.38,17.29881657,12.47987988,4.818936688,95.24,France,6,3,0,Summer,Medium,15.4,9.5,25.3,1
2023-11-05,Paris Charles de Gaulle,58.55,68.9,20.42105263,17.38938127,3.031671361,94.22,France,11,6,1,Autumn,Large,10.7,4.4,33.0,1
2025-04-30,Paris Orly,58.57,76.64,18.64485981,11.32642783,7.318431983,95.85,France,4,2,0,Spring,Medium,20.5,0.0,11.7,1
2025-06-11,Paris Orly,71.12,85.2,12.74468085,7.638418933,5.106261919,97.1,France,6,2,0,Summer,Medium,20.7,0.0,13.9,0
2024-02-05,Nice,87.05,90.07,9.519664269,6.380732861,3.138931408,94.08,France,2,0,0,Winter,Medium,10.0,0.0,7.0,0
2023-04-06,Paris Orly,32.54,42.11,38.07539683,31.60728745,6.468109376,91.37,France,4,3,0,Spring,Medium,9.2,1.5,20.8,1
