Date,Airport,Departure Punctuality %,Arrival Punctuality %,Avg Departure Schedule Delay,Avg Arrival Schedule Delay,Avg Departure - Arrival Schedule Delay,Operated Schedules %
2022-01-01,Brussels,81.63%,77.63%,12.70068027,12.23848684,0.46219343,89.70%
2022-01-02,Brussels,70.19%,69.90%,15.01442308,16.86539116,-1.85096808,91.81%
2022-01-03,Brussels,72.12%,75.47%,12.39423077,11.23388365,1.160347121,94.14%
2022-01-04,Brussels,80.75%,80.95%,15.80748663,14.90008818,0.907398448,89.30%
2022-01-05,Brussels,87.82%,82.59%,9.416243655,8.678358209,0.737885446,97.07%
2022-01-06,Brussels,90.82%,84.95%,8.124489796,9.507526882,-1.383037086,97.51%
2022-01-07,Brussels,85.99%,81.95%,10.63285024,10.69886179,-0.066011547,94.59%
2022-01-08,Brussels,71.86%,67.22%,16.74850299,19.17425926,-2.425756265,91.40%
2022-01-09,Brussels,71.36%,69.76%,13.85852895,14.37317073,-0.51464178,91.56%
2022-01-10,Brussels,83.71%,83.89%,9.685393258,8.071944444,1.613448814,91.50%
2022-01-11,Brussels,89.54%,88.05%,6.196078431,7.05,-0.853921569,90.53%
2022-01-12,Brussels,92.07%,85.19%,6.914634146,7.887757202,-0.973123055,89.84%
2022-01-13,Brussels,86.06%,81.87%,8.963636364,10.39220273,-1.428566365,89.42%
2022-01-14,Brussels,82.66%,83.93%,9.028901734,6.267261905,2.761639829,89.66%
2022-01-15,Brussels,84.13%,86.18%,9.492063492,9.931707317,-0.439643825,91.55%
2022-01-16,Brussels,88.89%,80.00%,8.477777778,10.17747475,-1.69969697,91.00%
2022-01-17,Brussels,79.45%,84.08%,14.38356164,14.27558386,0.10797778,90.42%
2022-01-18,Brussels,84.00%,85.94%,8.832,11.71822917,-2.886229167,92.20%
2022-01-19,Brussels,91.56%,86.18%,8.577922078,7.703947368,0.87397471,88.64%
2022-01-20,Brussels,90.91%,84.56%,6.863636364,9.338478747,-2.474842384,90.17%
2022-01-21,Brussels,86.75%,85.26%,7.289156627,8.151175214,-0.862018587,91.71%
2022-01-22,Brussels,82.79%,78.81%,12.89344262,12.2279661,0.665476521,87.86%
2022-01-23,Brussels,89.22%,87.73%,9.021457086,7.538343558,1.483113528,91.89%
2022-01-24,Brussels,87.16%,90.26%,7.493243243,6.389069264,1.104173979,88.07%
2022-01-25,Brussels,87.30%,81.54%,15.97619048,15.65858974,0.317600733,85.71%
2022-01-26,Brussels,89.94%,87.84%,7.899371069,8.39786036,-0.498489291,88.65%
2022-01-27,Brussels,87.50%,85.71%,8.602941176,8.869642857,-0.266701681,88.61%
2022-01-28,Brussels,83.93%,81.48%,12.30357143,12.40997942,-0.106407995,92.97%
2022-01-29,Brussels,88.33%,89.26%,9.508333333,7.763360882,1.744972452,89.63%
